site,x,y,z
V0248,551799.9091909033,3337420.371034871,349.6043701171875
V0249,661599.9091909033,3337420.371034871,425.5824890136719
V0250,596799.9091909033,3337360.371034871,510.1324157714844
V0251,553539.9091909033,3337330.371034871,696.8405151367188
V0252,649239.9091909033,3337330.371034871,619.066162109375
V0253,589269.9091909033,3337300.371034871,452.8365783691406
V0254,634239.9091909033,3337270.371034871,797.3319702148438
V0255,603909.9091909033,3337240.371034871,602.16064453125
V0256,568359.9091909033,3337180.371034871,663.2578735351562
V0257,635769.9091909033,3337180.371034871,1119.0213623046875
V0258,566709.9091909033,3337150.371034871,481.3580017089844
V0259,570759.9091909033,3337150.371034871,511.5749816894531
V0260,610839.9091909033,3337150.371034871,1255.054931640625
V0261,666009.9091909033,3337120.371034871,530.0875244140625
V0262,618339.9091909033,3337060.371034871,1034.72119140625
V0263,580869.9091909033,3337030.371034871,392.9149475097656
V0264,591189.9091909033,3337030.371034871,508.0872497558594
V0265,614109.9091909033,3337030.371034871,1320.017822265625
V0266,646359.9091909033,3337000.371034871,349.8302307128906
V0267,555999.9091909033,3336970.371034871,428.1167297363281
V0268,651009.9091909033,3336970.371034871,1063.11962890625
V0269,606429.9091909033,3336940.371034871,650.342041015625
V0270,583749.9091909033,3336910.371034871,459.41839599609375
V0271,553929.9091909033,3335590.371034871,455.3275451660156
V0272,636309.9091909033,3335590.371034871,1047.929443359375
V0273,583899.9091909033,3335560.371034871,459.4404602050781
V0274,653949.9091909033,3335560.371034871,856.2847900390625
V0275,643569.9091909033,3335500.371034871,546.8085327148438
V0276,545829.9091909033,3335440.371034871,273.06146240234375
V0277,564099.9091909033,3335440.371034871,473.07598876953125
V0278,581499.9091909033,3335440.371034871,576.2725219726562
V0279,638259.9091909033,3335380.371034871,484.93450927734375
V0280,596739.9091909033,3335320.371034871,533.8439331054688
V0281,613239.9091909033,3335320.371034871,1627.1341552734375
V0282,663219.9091909033,3335320.371034871,438.7215576171875
V0283,591699.9091909033,3335290.371034871,440.810546875
V0284,578199.9091909033,3335260.371034871,543.8999633789062
V0285,633909.9091909033,3335230.371034871,1033.7713623046875
V0286,543249.9091909033,3335200.371034871,476.22906494140625
V0287,618159.9091909033,3335200.371034871,1028.3648681640625
V0288,655659.9091909033,3335200.371034871,467.5450439453125
V0289,568239.9091909033,3335170.371034871,694.8818359375
V0290,609309.9091909033,3335170.371034871,1529.6929931640625
V0291,620679.9091909033,3335140.371034871,336.3699035644531
V0292,645669.9091909033,3335140.371034871,690.6995849609375
V0293,651489.9091909033,3335140.371034871,944.1250610351562
V0294,566709.9091909033,3335110.371034871,773.6744384765625
V0295,626739.9091909033,3335080.371034871,592.8261108398438
V0296,588219.9091909033,3334960.371034871,450.3747253417969
V0297,555729.9091909033,3334900.371034871,354.70269775390625
V0298,585669.9091909033,3334870.371034871,321.90606689453125
V0299,665799.9091909033,3334870.371034871,394.9530334472656
V0300,669309.9091909033,3334870.371034871,712.6183471679688
V0301,560979.9091909033,3334840.371034871,450.7534484863281
V0302,659169.9091909033,3334840.371034871,681.179931640625
V0303,558279.9091909033,3334810.371034871,624.0150756835938
V0304,576789.9091909033,3334810.371034871,314.73638916015625
V0305,573189.9091909033,3334780.371034871,469.12042236328125
V0306,628839.9091909033,3334780.371034871,893.72265625
V0307,571659.9091909033,3334750.371034871,497.45941162109375
V0308,641289.9091909033,3334660.371034871,372.12652587890625
V0309,676659.9091909033,3334660.371034871,1249.83447265625
V0310,605979.9091909033,3334630.371034871,868.2731323242188
V0311,548319.9091909033,3334600.371034871,265.0994873046875
V0312,551649.9091909033,3334600.371034871,270.8561706542969
V0313,603309.9091909033,3334600.371034871,540.1958618164062
V0314,649149.9091909033,3334600.371034871,932.7694702148438
V0315,615849.9091909033,3334570.371034871,1356.229736328125
V0316,660849.9091909033,3334570.371034871,502.6099548339844
V0317,611589.9091909033,3334540.371034871,1721.754638671875
V0318,631599.9091909033,3334540.371034871,870.4401245117188
V0319,673449.9091909033,3334510.371034871,1122.014404296875
V0320,601239.9091909033,3334480.371034871,640.4915771484375
V0321,593679.9091909033,3334450.371034871,545.6732788085938
V0322,598719.9091909033,3334450.371034871,446.1620788574219
V0323,623589.9091909033,3334450.371034871,598.5692138671875
V0324,671049.9091909033,3334450.371034871,1061.63330078125
V0325,593829.9091909033,3333070.371034871,499.4651794433594
V0326,631419.9091909033,3333070.371034871,1194.234130859375
V0327,561069.9091909033,3333010.371034871,347.8887023925781
V0328,648549.9091909033,3333010.371034871,724.7379150390625
V0329,670929.9091909033,3333010.371034871,875.112548828125
V0330,551589.9091909033,3332980.371034871,444.81756591796875
V0331,610839.9091909033,3332950.371034871,1472.145263671875
V0332,666159.9091909033,3332950.371034871,270.17596435546875
V0333,650859.9091909033,3332920.371034871,631.9664916992188
V0334,600789.9091909033,3332890.371034871,577.2762451171875
V0335,564219.9091909033,3332860.371034871,489.03662109375
V0336,576729.9091909033,3332860.371034871,341.9568176269531
V0337,588279.9091909033,3332830.371034871,501.5585632324219
V0338,615759.9091909033,3332830.371034871,958.8705444335938
V0339,633309.9091909033,3332770.371034871,1281.1787109375
V0340,613209.9091909033,3332740.371034871,1627.30859375
V0341,565659.9091909033,3332680.371034871,521.9525756835938
V0342,574179.9091909033,3332650.371034871,506.1975402832031
V0343,584319.9091909033,3332650.371034871,542.8823852539062
V0344,578409.9091909033,3332620.371034871,524.7297973632812
V0345,596799.9091909033,3332590.371034871,639.0665283203125
V0346,659319.9091909033,3332590.371034871,617.8745727539062
V0347,669309.9091909033,3332590.371034871,1251.6845703125
V0348,599319.9091909033,3332560.371034871,627.5541381835938
V0349,571839.9091909033,3332500.371034871,473.5175476074219
V0350,545919.9091909033,3332440.371034871,720.400634765625
