site,x,y,z
V0349,581979.9091909033,3332500.371034871,636.6451416015625
V0350,587979.9091909033,3332500.371034871,516.5286254882812
V0351,623079.9091909033,3332500.371034871,651.1420288085938
V0352,668079.9091909033,3332500.371034871,689.0363159179688
V0353,672999.9091909033,3332470.371034871,925.1871337890625
V0354,574419.9091909033,3332440.371034871,483.5570068359375
V0355,615339.9091909033,3332350.371034871,1144.8084716796875
V0356,648069.9091909033,3332320.371034871,624.726318359375
V0357,636939.9091909033,3332290.371034871,485.8089904785156
V0358,568029.9091909033,3332260.371034871,607.4573364257812
V0359,579459.9091909033,3332260.371034871,373.0345153808594
V0360,628029.9091909033,3332260.371034871,955.1849975585938
V0361,542019.9091909033,3332230.371034871,590.2489013671875
V0362,557709.9091909033,3332200.371034871,258.3777770996094
V0363,545469.9091909033,3332140.371034871,675.1785278320312
V0364,657009.9091909033,3332140.371034871,411.1971435546875
V0365,559719.9091909033,3332110.371034871,351.5504455566406
V0366,592659.9091909033,3332110.371034871,318.70379638671875
V0367,562689.9091909033,3332080.371034871,432.67108154296875
V0368,550239.9091909033,3332050.371034871,617.811279296875
V0369,594639.9091909033,3332020.371034871,573.252685546875
V0370,607839.9091909033,3332020.371034871,1203.6668701171875
V0371,547749.9091909033,3331990.371034871,406.8426513671875
V0372,642189.9091909033,3331990.371034871,650.3792724609375
V0373,609759.9091909033,3331960.371034871,1588.29736328125
V0374,652719.9091909033,3331960.371034871,577.3489990234375
V0375,624909.9091909033,3331930.371034871,1002.8348388671875
V0376,634809.9091909033,3331930.371034871,993.7554321289062
V0377,640149.9091909033,3331930.371034871,597.6071166992188
V0378,674979.9091909033,3331900.371034871,1165.3946533203125
V0379,609819.9091909033,3330580.371034871,1284.7000732421875
V0380,660099.9091909033,3330580.371034871,547.1013793945312
V0381,634719.9091909033,3330520.371034871,909.846435546875
V0382,667779.9091909033,3330520.371034871,549.12060546875
V0383,587649.9091909033,3330490.371034871,465.43292236328125
V0384,650319.9091909033,3330490.371034871,389.9515075683594
V0385,554589.9091909033,3330460.371034871,590.6852416992188
V0386,570369.9091909033,3330460.371034871,451.9765930175781
V0387,627879.9091909033,3330460.371034871,1105.292724609375
V0388,564579.9091909033,3330430.371034871,471.3914489746094
V0389,572919.9091909033,3330430.371034871,542.1668090820312
V0390,574569.9091909033,3330430.371034871,485.8201904296875
V0391,632769.9091909033,3330430.371034871,1392.5050048828125
V0392,645219.9091909033,3330400.371034871,544.895263671875
