site,x,y,z
V0281,555819.9091909033,3336670.371034871,511.86334228515625
V0282,655989.9091909033,3336670.371034871,557.2538452148438
V0283,574179.9091909033,3336640.371034871,514.9244995117188
V0284,618459.9091909033,3336640.371034871,1060.1888427734375
V0285,578229.9091909033,3336550.371034871,486.2365417480469
V0286,641289.9091909033,3336490.371034871,359.7861328125
V0287,591159.9091909033,3336370.371034871,601.485595703125
V0288,669309.9091909033,3336340.371034871,420.0775451660156
V0289,671469.9091909033,3336340.371034871,1179.000732421875
V0290,660669.9091909033,3336310.371034871,460.5965576171875
V0291,593139.9091909033,3336250.371034871,455.1131591796875
V0292,596829.9091909033,3336250.371034871,479.4143371582031
V0293,604329.9091909033,3336250.371034871,469.891845703125
V0294,609339.9091909033,3336250.371034871,1497.430908203125
V0295,623139.9091909033,3336250.371034871,534.3596801757812
V0296,614319.9091909033,3336190.371034871,1495.3779296875
V0297,615669.9091909033,3336190.371034871,1516.52294921875
V0298,663159.9091909033,3336160.371034871,499.63543701171875
V0299,634269.9091909033,3336130.371034871,1070.6455078125
V0300,654099.9091909033,3336130.371034871,879.9362182617188
V0301,570669.9091909033,3336100.371034871,615.6754760742188
V0302,628959.9091909033,3336070.371034871,728.9274291992188
V0303,638169.9091909033,3336070.371034871,552.5142211914062
V0304,575859.9091909033,3336040.371034871,338.2886047363281
V0305,635709.9091909033,3336010.371034871,1108.94921875
V0306,626439.9091909033,3335980.371034871,562.1549072265625
V0307,564249.9091909033,3335950.371034871,380.7142028808594
V0308,599259.9091909033,3335950.371034871,395.9399719238281
V0309,620769.9091909033,3335920.371034871,259.3789978027344
V0310,649209.9091909033,3335920.371034871,1049.383544921875
V0311,581709.9091909033,3335890.371034871,506.9757080078125
V0312,545829.9091909033,3335830.371034871,343.5045471191406
V0313,558309.9091909033,3335830.371034871,406.677001953125
V0314,586659.9091909033,3335830.371034871,348.28851318359375
V0315,568419.9091909033,3335770.371034871,633.9034423828125
V0316,643389.9091909033,3335770.371034871,451.24017333984375
V0317,659109.9091909033,3335770.371034871,493.1019287109375
V0318,566379.9091909033,3335740.371034871,701.625244140625
V0319,548949.9091909033,3335710.371034871,224.80226135253906
V0320,630999.9091909033,3335710.371034871,668.8035278320312
V0321,645999.9091909033,3335710.371034871,478.8854675292969
V0322,675999.9091909033,3335710.371034871,1185.372314453125
V0323,551109.9091909033,3335680.371034871,213.32644653320312
V0324,611229.9091909033,3335650.371034871,1633.075927734375
V0325,601239.9091909033,3334360.371034871,571.550048828125
V0326,636249.9091909033,3334360.371034871,729.6298217773438
V0327,561279.9091909033,3334330.371034871,379.7453918457031
V0328,616059.9091909033,3334330.371034871,1214.243408203125
V0329,651429.9091909033,3334330.371034871,851.9790649414062
V0330,646059.9091909033,3334300.371034871,522.4058837890625
V0331,653979.9091909033,3334300.371034871,712.5724487304688
V0332,673509.9091909033,3334300.371034871,1063.927001953125
V0333,670929.9091909033,3334270.371034871,1170.7548828125
V0334,558369.9091909033,3334240.371034871,488.6368713378906
V0335,566079.9091909033,3334240.371034871,738.331298828125
V0336,613569.9091909033,3334240.371034871,1427.4937744140625
V0337,648969.9091909033,3334240.371034871,913.606201171875
V0338,629139.9091909033,3334210.371034871,950.5208740234375
V0339,603309.9091909033,3334180.371034871,616.2205810546875
V0340,664209.9091909033,3334120.371034871,425.9466247558594
V0341,543219.9091909033,3334060.371034871,203.20834350585938
V0342,623769.9091909033,3334000.371034871,697.2318115234375
V0343,660969.9091909033,3333970.371034871,684.3350830078125
V0344,548559.9091909033,3333940.371034871,488.8219909667969
V0345,564279.9091909033,3333910.371034871,440.9112243652344
V0346,576819.9091909033,3333910.371034871,378.0758972167969
V0347,638229.9091909033,3333910.371034871,307.7138977050781
V0348,583869.9091909033,3333850.371034871,544.7953491210938
V0349,570729.9091909033,3333820.371034871,580.0540771484375
V0350,611799.9091909033,3333820.371034871,1750.4102783203125
V0351,598749.9091909033,3333790.371034871,508.5760498046875
V0352,641679.9091909033,3333790.371034871,577.183837890625
V0353,578229.9091909033,3333760.371034871,539.86474609375
V0354,643149.9091909033,3333760.371034871,519.1534423828125
V0355,659349.9091909033,3333760.371034871,648.095947265625
V0356,586809.9091909033,3333730.371034871,450.5478210449219
V0357,666489.9091909033,3333700.371034871,288.2740478515625
V0358,555669.9091909033,3333670.371034871,405.5023193359375
V0359,588249.9091909033,3333490.371034871,428.423828125
V0360,574239.9091909033,3333460.371034871,384.874267578125
V0361,551709.9091909033,3333400.371034871,504.1950378417969
V0362,554229.9091909033,3333400.371034871,391.43060302734375
V0363,618939.9091909033,3333400.371034871,601.5191650390625
V0364,621729.9091909033,3333400.371034871,602.3547973632812
V0365,631449.9091909033,3333400.371034871,1256.431396484375
V0366,633309.9091909033,3333400.371034871,1272.9365234375
V0367,669219.9091909033,3333400.371034871,932.7572631835938
V0368,676719.9091909033,3333400.371034871,1299.843017578125
V0369,593649.9091909033,3333340.371034871,595.3123168945312
V0370,580959.9091909033,3333310.371034871,551.8536376953125
V0371,608379.9091909033,3333280.371034871,1124.89599609375
V0372,568479.9091909033,3333250.371034871,375.4222412109375
V0373,591069.9091909033,3333250.371034871,377.24859619140625
V0374,655929.9091909033,3333250.371034871,288.7907409667969
V0375,546429.9091909033,3333190.371034871,390.44891357421875
V0376,596409.9091909033,3333190.371034871,456.5554504394531
V0377,606369.9091909033,3333190.371034871,925.8355102539062
V0378,626199.9091909033,3333190.371034871,730.551513671875
V0379,651129.9091909033,3331810.371034871,494.0310363769531
V0380,613449.9091909033,3331780.371034871,1379.4908447265625
V0381,676539.9091909033,3331780.371034871,1113.6778564453125
V0382,569109.9091909033,3331750.371034871,613.4680786132812
V0383,615879.9091909033,3331750.371034871,765.2672729492188
V0384,609129.9091909033,3331720.371034871,1469.6224365234375
V0385,555819.9091909033,3331690.371034871,358.9576721191406
V0386,653319.9091909033,3331690.371034871,415.7718200683594
V0387,558759.9091909033,3331630.371034871,502.7208251953125
V0388,628479.9091909033,3331570.371034871,1082.1552734375
V0389,669099.9091909033,3331570.371034871,1068.379150390625
V0390,554199.9091909033,3331540.371034871,618.705810546875
V0391,633519.9091909033,3331540.371034871,1316.8604736328125
V0392,624279.9091909033,3331510.371034871,911.372802734375
V0393,660699.9091909033,3331510.371034871,592.0357666015625
V0394,585699.9091909033,3331480.371034871,358.1909484863281
V0395,588849.9091909033,3331480.371034871,466.2412109375
V0396,659319.9091909033,3331450.371034871,472.0936279296875
V0397,581799.9091909033,3331420.371034871,486.5477600097656
V0398,596799.9091909033,3331420.371034871,773.8695678710938
V0399,575829.9091909033,3331390.371034871,472.8670959472656
V0400,563259.9091909033,3331330.371034871,481.5378112792969
V0401,610659.9091909033,3331330.371034871,1440.255615234375
