site,x,y,z
V0440,659679.9091909033,3329260.371034871,388.550048828125
V0441,657819.9091909033,3329230.371034871,496.4093322753906
V0442,567099.9091909033,3329200.371034871,471.5094909667969
V0443,674589.9091909033,3329200.371034871,717.93798828125
V0444,649869.9091909033,3329170.371034871,227.7749481201172
V0445,670239.9091909033,3329170.371034871,1261.032470703125
V0446,552909.9091909033,3329140.371034871,554.8154907226562
V0447,607929.9091909033,3329140.371034871,1161.2156982421875
V0448,632919.9091909033,3329080.371034871,1253.621826171875
V0449,550509.9091909033,3329050.371034871,639.4848022460938
V0450,602169.9091909033,3329050.371034871,1229.9913330078125
V0451,611979.9091909033,3329050.371034871,1184.895263671875
V0452,600489.9091909033,3329020.371034871,1111.720458984375
V0453,554499.9091909033,3328960.371034871,603.2445678710938
V0454,593049.9091909033,3328930.371034871,716.3212280273438
V0455,646929.9091909033,3328930.371034871,553.7623901367188
V0456,572889.9091909033,3328870.371034871,504.5863952636719
V0457,605259.9091909033,3328870.371034871,1196.073486328125
V0458,625449.9091909033,3328840.371034871,1288.62060546875
V0459,628029.9091909033,3328840.371034871,1080.7637939453125
V0460,558069.9091909033,3328810.371034871,330.4244384765625
V0461,580539.9091909033,3328750.371034871,461.58209228515625
V0462,668049.9091909033,3328720.371034871,456.001708984375
V0463,574839.9091909033,3328690.371034871,507.5639343261719
