metric,target,rho,p,p_ess,p_perm,n,n_eff,ci_lo,ci_hi,p_boot,q,q_perm,q_ess,survive,survive_perm,survive_ess,survive_dual
slope_deg,cov85_4p,-0.798,2.120932071836486e-07,1.0520900300860856e-05,0.0001,29,21.6,-0.911,-0.521,0.0007,6.362796215509458e-06,0.002,0.0003156270090258257,True,True,True,True
slope_deg,rsrp_p10_4p,-0.819,5.7335844268206135e-08,2.6723154439275862e-06,0.0001,29,22.3,-0.894,-0.635,0.0,3.440150656092368e-06,0.002,0.00016033892663565517,True,True,True,True
southness,lst_abs,-0.285,0.13346475275347244,0.17979862460471402,0.1421,29,23.7,-0.593,-0.02,0.036,0.34264246595612075,0.36949999999999994,0.449496561511785,False,False,False,False
southness,dlst_v3m,-0.168,0.3840588211661153,0.3846414626041098,0.4037,29,28.9,-0.52,0.227,0.4195,0.5760882317491729,0.60555,0.612813716436197,False,False,False,False
southness,cov85_4p,-0.06,0.7581129400956729,0.7764136439723238,0.762,29,25.0,-0.528,0.349,0.7142,0.9094974914511895,0.9103333333333333,0.9113020150525544,False,False,False,False
southness,rsrp_p10_4p,0.212,0.26915527042096565,0.29941695693372344,0.2708,29,25.9,-0.347,0.627,0.4948,0.5215814142628376,0.5416,0.5795166908394648,False,False,False,False
ns_asym_m,lst_abs,-0.186,0.3341275334392057,0.3768165532185864,0.3437,29,24.7,-0.471,0.153,0.2601,0.5418284326041174,0.5573513513513514,0.612813716436197,False,False,False,False
ns_asym_m,dlst_v3m,-0.115,0.5507906658281119,0.5507906658281112,0.5539,29,29.0,-0.47,0.3,0.5695,0.7343096689261909,0.7385333333333333,0.7819925705552587,False,False,False,False
ns_asym_m,cov85_4p,-0.011,0.9548025018719758,0.9573372968295212,0.9521,29,26.1,-0.449,0.402,0.8243,0.9794209325674625,0.9787118644067797,0.9816961405616811,False,False,False,False
ns_asym_m,rsrp_p10_4p,0.231,0.2276343920390322,0.24624986042823763,0.236,29,27.0,-0.196,0.541,0.2921,0.5009781364331429,0.5244444444444445,0.5300547960130172,False,False,False,False
tsvf,lst_abs,0.312,0.09971168431545414,0.16693622467726446,0.1058,29,21.2,-0.196,0.674,0.1934,0.29913505294636245,0.3174,0.449496561511785,False,False,False,False
tsvf,dlst_v3m,-0.009,0.9630972503580048,0.9653345382189864,0.9624,29,25.9,-0.344,0.336,0.9797,0.9794209325674625,0.9787118644067797,0.9816961405616811,False,False,False,False
tsvf,cov85_4p,0.434,0.018634857171517017,0.04148149770293136,0.0205,29,22.4,0.072,0.712,0.0147,0.09317428585758508,0.10615384615384614,0.19145306632122164,False,False,False,False
tsvf,rsrp_p10_4p,0.419,0.02373129025019476,0.045945911626841834,0.0295,29,23.1,0.074,0.661,0.02,0.10428716387098179,0.12642857142857142,0.19691104982932214,False,False,False,False
forest_ring_pct,lst_abs,-0.471,0.009855025856370788,0.03305602967999535,0.0108,29,20.6,-0.791,0.028,0.0654,0.06570017237580525,0.07200000000000001,0.16528014839997676,False,False,False,False
forest_ring_pct,dlst_v3m,-0.06,0.7572271045023194,0.7750878617335024,0.7583,29,25.1,-0.457,0.246,0.7122,0.9094974914511895,0.9103333333333333,0.9113020150525544,False,False,False,False
forest_ring_pct,cov85_4p,-0.644,0.00016157484154174427,0.0012993473134409379,0.0003,29,21.8,-0.861,-0.274,0.0053,0.0019388980985009315,0.0036,0.015592167761291253,True,True,True,True
forest_ring_pct,rsrp_p10_4p,-0.59,0.000760093876312832,0.0034600362230030653,0.0004,29,22.5,-0.758,-0.315,0.0,0.00760093876312832,0.004,0.03460036223003065,True,True,True,True
water_mean_m,lst_abs,-0.193,0.3153681546314896,0.360051223582744,0.3266,29,24.5,-0.529,0.124,0.2454,0.5285106694972774,0.5509999999999999,0.612813716436197,False,False,False,False
water_mean_m,dlst_v3m,-0.05,0.7969649550635822,0.7969649550635819,0.8012,29,29.0,-0.465,0.329,0.6976,0.9094974914511895,0.9103333333333333,0.9113020150525544,False,False,False,False
water_mean_m,cov85_4p,0.112,0.5629707461767464,0.586494427916444,0.5694,29,25.9,-0.128,0.424,0.3561,0.7343096689261909,0.7426956521739131,0.7819925705552587,False,False,False,False
water_mean_m,rsrp_p10_4p,-0.002,0.9918613750301127,0.9922073630371889,0.9921,29,26.8,-0.315,0.374,0.8976,0.9918613750301127,0.9921,0.9922073630371889,False,False,False,False
water_min_m,lst_abs,-0.168,0.3840203951841496,0.42353831266695485,0.397,29,24.9,-0.562,0.202,0.4575,0.5760882317491729,0.60555,0.6515974041030075,False,False,False,False
water_min_m,dlst_v3m,-0.044,0.8201718135472988,0.820171813547299,0.8193,29,29.0,-0.46,0.356,0.7856,0.9113020150525543,0.9103333333333333,0.9113020150525544,False,False,False,False
water_min_m,cov85_4p,0.048,0.8033894507818841,0.8133669715050302,0.8095,29,26.3,-0.229,0.423,0.7002,0.9094974914511895,0.9103333333333333,0.9113020150525544,False,False,False,False
water_min_m,rsrp_p10_4p,-0.055,0.7769471921826063,0.7844400728280457,0.7767,29,27.2,-0.374,0.356,0.7402,0.9094974914511895,0.9103333333333333,0.9113020150525544,False,False,False,False
